name,school_name,local_path
Bolei Zhou,UCLA,Bolei Zhou.png
Tierra Bills,UCLA,Tierra Bills.png
Martin Hudson,UCLA,Martin Hudson.jpg
Aditya Grover,UCLA,Aditya Grover.png
Mark Gyure,UCLA,Mark Gyure.jpg
Xinshu (Grace) Xiao,UCLA,Xinshu (Grace) Xiao.png
Thaiesha Wright,UCLA,Thaiesha Wright.jpg
Sergio Carbajo,UCLA,Sergio Carbajo.png
Yang Zhang,UCLA,Yang Zhang.jpg
Bahman Gharesifard,UCLA,Bahman Gharesifard.jpg
Alireza Moshaverinia D.D.S. M.S. Ph.D. F.A.C.P.,UCLA,"Alireza Moshaverinia, D.D.S., M.S., Ph.D., F.A.C.P.png"
Brett Lopez,UCLA,Brett Lopez.png
Enrique Lopez Droguett,UCLA,Enrique Lopez Droguett.png
Jennifer Wilson,UCLA,Jennifer Wilson.png
William Speier,UCLA,William Speier.png
Tanuj Gulati,UCLA,Tanuj Gulati.png
René Packard,UCLA,René Packard.png
Sriram Narasimhan,UCLA,Sriram Narasimhan.png
Audrey Pool O’Neal,UCLA,Audrey Pool O’Neal.jpg
Amir Faghri,UCLA,Amir Faghri.jpg
Yinmin Morris Wang,UCLA,Yinmin Morris Wang.jpg
Portonovo Ayyaswamy,UCLA,Portonovo Ayyaswamy.jpg
Mayank Mehta,UCLA,Mayank Mehta.jpg
Nader Sehatbakhsh,UCLA,Nader Sehatbakhsh.png
Jiaqi Ma,UCLA,Jiaqi Ma.png
Omid Abari,UCLA,Omid Abari.jpg
Nanyun (Violet) Peng,UCLA,Nanyun (Violet) Peng.png
Baharan Mirzasoleiman,UCLA,Baharan Mirzasoleiman.jpg
Lin Yang,UCLA,Lin Yang.jpg
Anthony Christodoulou,UCLA,Anthony Christodoulou.jpg
Sophia Sangiorgio,UCLA,Sophia Sangiorgio.jpg
Maie St. John,UCLA,Maie St. John.png
Liang Gao,UCLA,Liang Gao.png
Christopher Lynch,UCLA,Christopher Lynch.jpg
Alex Afanasyev,UCLA,Alex Afanasyev.png
Nureddin Ashammakhi,UCLA,Nureddin Ashammakhi.jpg
Xiaoyu (Rayne) Zheng,UCLA,Xiaoyu (Rayne) Zheng.jpg
Tyler Clites,UCLA,Tyler Clites.jpg
Harry Xu,UCLA,Harry Xu.jpg
Cho-Jui Hsieh,UCLA,Cho-Jui Hsieh.png
Quanquan Gu,UCLA,Quanquan Gu.png
Marta Pozuelo,UCLA,Marta Pozuelo.jpg
Zhaoyan Zhang,UCLA,Zhaoyan Zhang.jpg
Z. Hong Zhou,UCLA,Z. Hong Zhou.png
Zhaoyang Fan,UCLA,Zhaoyang Fan.jpg
Amartya Banerjee,UCLA,Amartya Banerjee.jpg
Ricky Taira,UCLA,Ricky Taira.jpg
R. Michael van Dam,UCLA,R. Michael van Dam.jpg
Michael V. Sofroniew,UCLA,Michael V. Sofroniew.jpg
Lily Wu,UCLA,Lily Wu.jpg
Ladan Shams,UCLA,Ladan Shams.jpg
Kyung Hyun Sung,UCLA,Kyung Hyun Sung.jpg
Kang Ting,UCLA,Kang Ting.jpg
James Tidball,UCLA,James Tidball.jpg
Jack Van Horn,UCLA,Jack Van Horn.jpg
Igor Spigelman,UCLA,Igor Spigelman.jpg
Hsian-Rong Tseng,UCLA,Hsian-Rong Tseng.jpg
Desmond Smith,UCLA,Desmond Smith.jpg
David Wong,UCLA,David Wong.jpg
Danny J.J. Wang,UCLA,Danny J.J. Wang.jpg
B. Chia Soo,UCLA,B. Chia Soo.jpg
Behzad Sharif,UCLA,Behzad Sharif.jpg
M. Albert Thomas,UCLA,M. Albert Thomas.jpg
Jun Chen,UCLA,Jun Chen.jpg
Arash Naeim,UCLA,Arash Naeim.png
Ke Sheng,UCLA,Ke Sheng.jpg
Nanthia Suthana,UCLA,Nanthia Suthana.jpg
Corey Arnold,UCLA,Corey Arnold.jpg
James Dunn,UCLA,James Dunn.jpg
Bill Tawil,UCLA,Bill Tawil.jpg
Neil Lin,UCLA,Neil Lin.png
Dan Ruan,UCLA,Dan Ruan.jpg
Holden Wu,UCLA,Holden Wu.jpg
Emily A. Carter,UCLA,Emily A. Carter.jpg
Sarah Tolbert,UCLA,Sarah Tolbert.jpg
Richard Kaner,UCLA,Richard Kaner.jpg
Paul Weiss,UCLA,Paul Weiss.jpg
Aaswath Raman,UCLA,Aaswath Raman.jpg
Eric Ahlberg,UCLA,Eric Ahlberg.png
Irene Chen,UCLA,Irene Chen.png
Zhen Gu,UCLA,Zhen Gu.jpg
Yuzhang Li,UCLA,Yuzhang Li.png
Carissa Eisler,UCLA,Carissa Eisler.png
Amiya Chatterjee,UCLA,Amiya Chatterjee.jpg
Carlos Morales-Guio,UCLA,Carlos Morales-Guio.jpg
Nasim Annabi,UCLA,Nasim Annabi.jpg
Stanley Dong,UCLA,Stanley Dong.png
Michael Stenstrom,UCLA,Michael Stenstrom.jpg
Michael Fourney,UCLA,Michael Fourney.png
Lewis Felton,UCLA,Lewis Felton.png
Keith Stolzenbach,UCLA,Keith Stolzenbach.png
Jonathan Stewart,UCLA,Jonathan Stewart.png
John Wallace,UCLA,John Wallace.jpg
Katsushi Arisaka,UCLA,Katsushi Arisaka.png
Kunihiko “Sam” Taira,UCLA,Kunihiko “Sam” Taira.jpg
Vinay Goyal,UCLA,Vinay Goyal.png
Elisa Franco,UCLA,Elisa Franco.jpg
Artur Davoyan,UCLA,Artur Davoyan.jpg
Andrea Bertozzi,UCLA,Andrea Bertozzi.jpg
Jian Zhang,UCLA,Jian Zhang.jpg
Xiang Anthony Chen,UCLA,Xiang Anthony Chen.jpg
Junyoung Park,UCLA,Junyoung Park.jpg
Achuta Kadambi,UCLA,Achuta Kadambi.png
Ertugrul Taciroglu,UCLA,Ertugrul Taciroglu.jpg
William W-G. Yeh,UCLA,William W-G. Yeh.jpg
Thomas Sabol,UCLA,Thomas Sabol.jpg
Issam Najm,UCLA,Issam Najm.jpg
Sanjay Mohanty,UCLA,Sanjay Mohanty.jpg
Steven Margulis,UCLA,Steven Margulis.jpg
Shaily Mahendra,UCLA,Shaily Mahendra.jpg
Dennis Lettenmaier,UCLA,Dennis Lettenmaier.jpg
Jennifer Jay,UCLA,Jennifer Jay.jpg
David Jassby,UCLA,David Jassby.jpg
Eric Hoek,UCLA,Eric Hoek.jpg
Mekonnen Gebremichael,UCLA,Mekonnen Gebremichael.jpg
Timu Gallien,UCLA,Timu Gallien.jpg
Henry Burton,UCLA,Henry Burton.jpg
Yousef Bozorgnia,UCLA,Yousef Bozorgnia.jpg
A. R. Frank Wazzan,UCLA,A. R. Frank Wazzan.jpg
Selim Senkan,UCLA,Selim Senkan.jpg
Louis Ignarro,UCLA,Louis Ignarro.jpg
James Liao,UCLA,James Liao.jpg
Robert Hicks,UCLA,Robert Hicks.jpg
Dante Simonetti,UCLA,Dante Simonetti.jpg
Philippe Sautet,UCLA,Philippe Sautet.jpg
Samanvaya Srivastava,UCLA,Samanvaya Srivastava.jpg
Vasilios Manousiouthakis,UCLA,Vasilios Manousiouthakis.jpg
Kendall Houk,UCLA,Kendall Houk.png
James Davis,UCLA,James Davis.png
Yoram Cohen,UCLA,Yoram Cohen.jpg
Panagiotis Christofides,UCLA,Panagiotis Christofides.jpg
Yvonne Chen,UCLA,Yvonne Chen.jpg
Jane Chang,UCLA,Jane Chang.jpg
Magdalena Balonis,UCLA,Magdalena Balonis.jpg
Sergey Prikhodko,UCLA,Sergey Prikhodko.jpg
Eric Bescher,UCLA,Eric Bescher.png
King-Ning Tu,UCLA,King-Ning Tu.png
Kanji Ono,UCLA,Kanji Ono.png
John Mackenzie,UCLA,John Mackenzie.png
