name,profile_url,image_url,local_path
Chris Jaehnig,https://tisch.nyu.edu/about/directory/drama/94868556,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/C_Jaehnig_0461.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Chris_Jaehnig.jpeg
Kevin Kuhlke,https://tisch.nyu.edu/about/directory/drama/3292014,https://tisch.nyu.edu/content/dam/tisch/drama/bios/Kevin-square.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Kevin_Kuhlke.jpeg
Laura Levine,https://tisch.nyu.edu/about/directory/drama/103006490,https://tisch.nyu.edu/content/dam/tisch/drama/bios/Levine.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Laura_Levine.jpeg
Carol Martin,https://tisch.nyu.edu/about/directory/drama/3055763,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/cmartin.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Carol_Martin.jpeg
Erin Mee,https://tisch.nyu.edu/about/directory/drama/120532563,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/Drama_Mee.jpeg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Erin_Mee.jpeg
J. Oconer Navarro,https://tisch.nyu.edu/about/directory/drama/1427896331,https://tisch.nyu.edu/drama/faculty/null.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/J._Oconer_Navarro.jpeg
Shanga Parker,https://tisch.nyu.edu/about/directory/drama/897670259,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/Shanga700.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Shanga_Parker.jpeg
Doug Paulson,https://tisch.nyu.edu/about/directory/drama/462299398,https://tisch.nyu.edu/content/dam/tisch/drama/bios/Paulson_Headshot-2.JPG.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Doug_Paulson.jpeg
Rosemary Quinn,https://tisch.nyu.edu/about/directory/drama/3506286,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/R_Quinn_2579.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Rosemary_Quinn.jpeg
Mauricio Salgado,https://tisch.nyu.edu/about/directory/drama/1421993338,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/Salgado%20Headshot.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Mauricio_Salgado.jpeg
Lisa Sokolov,https://tisch.nyu.edu/about/directory/drama/3329617,https://tisch.nyu.edu/content/dam/tisch/drama/bios/LisaS.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Lisa_Sokolov.jpeg
Dan Soule,https://tisch.nyu.edu/about/directory/drama/1498118688.html,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/dan_soule.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Dan_Soule.jpeg
Daniel Spector,https://tisch.nyu.edu/about/directory/drama/1641228855,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/D_Spector_1400.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Daniel_Spector.jpeg
Tiffany Rachelle Stewart,https://tisch.nyu.edu/about/directory/drama/866272374,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/Tiffany_Rachelle.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Tiffany_Rachelle_Stewart.jpeg
Tomi M. Tsunoda,https://tisch.nyu.edu/about/directory/drama/1624826441,https://tisch.nyu.edu/content/dam/tisch/drama/bios/TTsunoda.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Tomi_M._Tsunoda.jpeg
Kristen Wright,https://tisch.nyu.edu/about/directory/drama/365814600,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/kw-mount-holyoke.png.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Kristen_Wright.jpeg
Lauren Whitehead,https://tisch.nyu.edu/about/directory/drama/45322898,https://tisch.nyu.edu/content/dam/tisch/drama/bios/Lauren-Whitehead.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Lauren_Whitehead.jpeg
Victoria Whooper,https://tisch.nyu.edu/about/directory/drama/805807328,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/Whooper.jpg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Victoria_Whooper.jpg
Chee-Hann Wu,https://tisch.nyu.edu/about/directory/drama/chee-hann-wu,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/CheeHanWu.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Chee-Hann_Wu.jpeg
Jeanette Yew,https://tisch.nyu.edu/about/directory/drama/101317858,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/jeanette_yew.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Jeanette_Yew.jpeg
Alisa Zhulina,https://tisch.nyu.edu/about/directory/drama/1446038837,https://tisch.nyu.edu/content/dam/tisch/drama/bios/AlisaZhulina.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Alisa_Zhulina.jpeg
Edward Ziter,https://tisch.nyu.edu/about/directory/drama/96313900,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/E_Ziter_0867.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Edward_Ziter.jpeg
