school,professor,department,avg_rating,avg_difficulty,would_take_again_percent
University of Southern California,Phillip Foster,Computer Science,5.0,3.7,-1.0
University of Southern California,Phineas Kelly,Engineering,3.0,5.0,50.0
University of Southern California,Pierson Clair,Engineering,4.4,3.3000000000000003,80.0
University of Southern California,Pin Wang,Engineering,3.0,4.0,0.0
University of Southern California,Priya Vashishta,Computer Science,5.0,1.0,100.0
University of Southern California,Pual Lu,Engineering,3.5,1.0,50.0
University of Southern California,Qifa Zhou,Engineering,0.0,0.0,-1.0
University of Southern California,Qiming Wang,Engineering,0.0,0.0,-1.0
University of Southern California,Quan Nguyen,Engineering,0.0,0.0,-1.0
University of Southern California,Quiang Huang,Engineering,3.8,3.0,100.0
University of Southern California,Ragheb Raad,Engineering,4.3,2.1,86.4
University of Southern California,Rahul Jain,Engineering,1.6,4.9,11.1
University of Southern California,Ram Nevatia,Computer Science,2.3000000000000003,3.5,42.900000000000006
University of Southern California,Ramesh Govindan,Computer Science,4.3,4.5,90.9
University of Southern California,Rashi Sinha,Computer Science,0.0,0.0,-1.0
University of Southern California,Raymond Rakhshani,Engineering,2.0,3.8,100.0
University of Southern California,Rehan Kapadia,Engineering,2.8000000000000003,3.9,33.300000000000004
University of Southern California,Renyuan Xu,Engineering,0.0,0.0,-1.0
University of Southern California,Rey Pocius,Computer Science,5.0,3.0,100.0
University of Southern California,Reza Jafarkhani,Engineering,4.9,2.2,96.6
University of Southern California,Richard Leahy,Engineering,4.5,1.8,100.0
University of Southern California,Richard Martin,Engineering,4.7,3.3000000000000003,100.0
University of Southern California,Rithikreddy Mandipati,Engineering,0.0,0.0,-1.0
University of Southern California,Robert Antypas,Engineering,5.0,5.0,100.0
University of Southern California,Robert Parke,Engineering,4.6000000000000005,2.8000000000000003,83.7
University of Southern California,Robert Popoli,Engineering,1.3,4.3,0.0
University of Southern California,Robert Scholtz,Engineering,4.5,4.3,100.0
University of Southern California,Robert Williams,Engineering,4.0,3.0,100.0
University of Southern California,Robert Young,Engineering,1.6,4.4,20.0
University of Southern California,Robin Jia,Computer Science,5.0,3.6,100.0
University of Southern California,Roger Ghanem,Engineering,1.9,3.4000000000000004,15.4
University of Southern California,Ron Artstein,Computer Science,2.0,3.1,22.200000000000003
University of Southern California,Ronald Henry,Engineering,4.5,2.0,-1.0
University of Southern California,Rui Xu,Engineering,0.0,0.0,-1.0
University of Southern California,Ruishan Liu,Computer Science,5.0,3.0,100.0
University of Southern California,Ruolin Li,Engineering,0.0,0.0,-1.0
University of Southern California,Russell Vakharia,Engineering,5.0,2.5,-1.0
University of Southern California,Ryan Park,Engineering,5.0,4.0,100.0
University of Southern California,Saakar Byahut,Engineering,4.3,3.7,88.9
University of Southern California,Sairam Raj,Computer Science,1.0,5.0,0.0
University of Southern California,Salman Avestimehr,Engineering,4.4,3.4000000000000004,100.0
University of Southern California,Sami Abu-El-Haija,Computer Science,5.0,3.0,100.0
University of Southern California,Sami Masri,Engineering,0.0,0.0,-1.0
University of Southern California,Sandeep Gupta,Engineering,3.9,3.2,66.7
University of Southern California,Sandra Batista,Computer Science,2.5,4.1000000000000005,29.9
University of Southern California,Sanja Ivanovic,Engineering,4.7,3.7,100.0
University of Southern California,Sanjay Madhav,Computer Science,4.800000000000001,2.5,89.7
