name,local_path,pred_score_raw,pred_score_1_5
Denis Zorin,Denis_Zorin.jpg,19.06026840209961,5.0
Nadav Brandes,Nadav_Brandes.jpg,26.184804916381836,5.0
Semiha Ergan,Semiha_Ergan.png,47.31053161621094,5.0
Chen Feng,Chen_Feng.jpg,36.037410736083984,5.0
Magdalena Fuentes,Magdalena_Fuentes.png,22.576324462890625,5.0
Siddharth Garg,Siddharth_Garg.png,43.760719299316406,5.0
Leslie Greengard,Leslie_Greengard.jpg,29.04366683959961,5.0
Yanjun Han,Yanjun_Han.jpg,25.7802734375,5.0
Mark Ho,Mark_Ho.png,27.5269775390625,5.0
Danny Yuxing Huang,Danny_Yuxing_Huang.png,25.7733154296875,5.0
Zhong-Ping Jiang,Zhong-Ping_Jiang.jpg,31.481191635131836,5.0
unknown_102,unknown_102.png,30.741050720214844,5.0
Qi Lei,Qi_Lei.jpg,26.868148803710938,5.0
Marcelo Mattar,Marcelo_Mattar.png,26.107240676879883,5.0
Daniel B Neill,Daniel_B_Neill.png,52.15065002441406,5.0
Oded Nov,Oded_Nov.png,31.55065155029297,5.0
Akbar Rafiey,Akbar_Rafiey.jpg,30.838747024536133,5.0
Brandon Reagen,Brandon_Reagen.jpg,25.517471313476562,5.0
Ludovic Righetti,Ludovic_Righetti.png,36.054473876953125,5.0
Keith Ross,Keith_Ross.jpg,22.15955352783203,5.0
Tamar Schlick,Tamar_Schlick.jpg,35.78794860839844,5.0
Liat Shenhav,Liat_Shenhav.jpg,26.865196228027344,5.0
Sandra Siby,Sandra_Siby.jpg,16.406024932861328,5.0
Georg Stadler,Georg_Stadler.png,26.084814071655273,5.0
Hao Su,Hao_Su.png,22.87755584716797,5.0
unknown_116,unknown_116.png,26.526660919189453,5.0
Eugene Vinitsky,Eugene_Vinitsky.png,25.76776885986328,5.0
Shengjie Wang,Shengjie_Wang.png,21.819908142089844,5.0
Hongyi Wen,Hongyi_Wen.png,17.610519409179688,5.0
Jie Xue,Jie_Xue.png,19.485210418701172,5.0
Chen Zhao,Chen_Zhao.png,43.47376251220703,5.0
Zhengyuan Zhou,Zhengyuan_Zhou.png,31.18105697631836,5.0
